ID,q1,q3,V0,T0,c0,N_frac,R,Beta,Kappa0,Delta_viable,Delta_total,Delta_V
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.001,1e-07,-62.7754364838395,-57.5016570511312,-46.3434059762887
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.003,1e-07,-89.7842962443021,-84.6556305420551,-83.6377944715563
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.005,1e-07,-96.4352721924718,-92.9213271775558,-94.0892055103796
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.007,1e-07,-98.4836348573289,-96.0592216501764,-97.4324775435415
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.009,1e-07,-99.2355792285198,-97.4550816622458,-98.6826084599624
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.01,1e-07,-99.4275491284222,-97.8636010394727,-99.0050049478888
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.001,1e-07,-44.5105020802097,-36.6750642470231,-27.6212576257273
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.003,1e-07,-73.4692409196701,-60.1835749686431,-61.0779049904124
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.005,1e-07,-85.5723750733224,-71.4979849237717,-77.6789194927635
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.007,1e-07,-91.3961748268077,-77.8758416847659,-86.2254069032421
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.009,1e-07,-94.4423449780914,-81.765380718969,-90.8620786206797
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.01,1e-07,-95.4130385454177,-83.1511306497929,-92.3681413918282
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.001,1e-07,-34.5255375929246,-25.7967179716493,-19.9856888208753
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.003,1e-07,-61.7076864197944,-43.7744080971101,-47.9308958261189
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.005,1e-07,-75.6052422274581,-53.5955412378489,-64.9532388881573
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.007,1e-07,-83.5663906521,-59.8630858677101,-75.4753108563614
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.009,1e-07,-88.3835326527537,-64.1277802340267,-82.1283516461372
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.01,1e-07,-90.0696983121477,-65.7624191352962,-84.5128863851918
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.001,1e-07,-28.8321267832107,-19.9972373637942,-16.3891196908487
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.003,1e-07,-54.319722503309,-34.5186724604003,-40.9292220497673
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.005,1e-07,-68.7348610434358,-42.7716067834086,-57.3949959590287
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.007,1e-07,-77.7483005004603,-48.2861469825745,-68.514790405999
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.009,1e-07,-83.6284141257623,-52.2098765721372,-76.1102928701126
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.01,1e-07,-85.7924140742131,-53.7625867010813,-78.9767790914149
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.001,1e-07,-24.2576015748903,-15.681229629707,-13.8732288257073
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.003,1e-07,-47.952571259329,-27.6552748500324,-35.5718709729433
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.005,1e-07,-62.3193254847301,-34.5443464703099,-51.0890967982847
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.007,1e-07,-71.9021141274125,-39.2502697544342,-62.2399408669673
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.009,1e-07,-78.536588126399,-42.6805040224589,-70.313724566548
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.01,1e-07,-81.0834291415542,-44.0632334514816,-73.4900830273627
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.1,0.001,1e-07,-57.8004468392649,-51.8613703721171,-53.8749290351713
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.1,0.003,1e-07,-90.6696021600121,-85.7902089587535,-89.2746980860417
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.1,0.005,1e-07,-97.4631707224195,-94.7064203782685,-97.0359603990681
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.1,0.007,1e-07,-99.1416626613203,-97.5343957209815,-98.9866352457243
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.1,0.009,1e-07,-99.6386565938889,-98.5993416367647,-99.5691280730369
