ID,q1,q3,V0,T0,c0,N_frac,R,Delta_viable,Delta_total
1,4.31457928,0.014016229,0.0005,0.108666789,0.005288674,5,0.1,-59.7382103560638,-51.4226043600128
1,4.31457928,0.014016229,0.0005,0.108666789,0.005288674,5,0.2,-54.3181863963975,-40.0576195384844
1,4.31457928,0.014016229,0.0005,0.108666789,0.005288674,5,0.3,-47.9136390051978,-29.8508523503426
1,4.31457928,0.014016229,0.0005,0.108666789,0.005288674,5,0.4,-44.7905173677304,-23.9684754307466
1,4.31457928,0.014016229,0.0005,0.108666789,0.005288674,5,0.5,-41.1277598346998,-19.2671298594301
2,7.272499249,9.767823899,0.0005,0.029257951,0.005075519,5,0.1,-2.03433247940021,6.84448670541866
2,7.272499249,9.767823899,0.0005,0.029257951,0.005075519,5,0.2,-3.66348279139576,12.7260307673737
2,7.272499249,9.767823899,0.0005,0.029257951,0.005075519,5,0.3,-4.55640929879197,16.8765920745014
2,7.272499249,9.767823899,0.0005,0.029257951,0.005075519,5,0.4,-6.16963573423169,19.1728993706589
2,7.272499249,9.767823899,0.0005,0.029257951,0.005075519,5,0.5,-6.519865317978,20.4687211159128
3,0.248739238,3.772037344,0.0005,0.131879465,0.005354407,5,0.1,-0.654582576597507,9.4629329405433
3,0.248739238,3.772037344,0.0005,0.131879465,0.005354407,5,0.2,-1.3630802945705,18.4109249874971
3,0.248739238,3.772037344,0.0005,0.131879465,0.005354407,5,0.3,-2.04867376433474,25.0046523454374
3,0.248739238,3.772037344,0.0005,0.131879465,0.005354407,5,0.4,-3.30562836299042,29.8868808693252
3,0.248739238,3.772037344,0.0005,0.131879465,0.005354407,5,0.5,-4.15608677211422,32.2998872974747
4,3.196084794,9.738097548,0.0005,0.038854557,0.005100361,5,0.1,-1.24074249514671,7.95425292171374
4,3.196084794,9.738097548,0.0005,0.038854557,0.005100361,5,0.2,-2.34099696465462,15.0223797462642
4,3.196084794,9.738097548,0.0005,0.038854557,0.005100361,5,0.3,-3.01217435061735,20.1149081667976
4,3.196084794,9.738097548,0.0005,0.038854557,0.005100361,5,0.4,-4.25204950863292,23.5017713450567
4,3.196084794,9.738097548,0.0005,0.038854557,0.005100361,5,0.5,-4.60320523021276,25.3270542468563
5,1.678842467,6.051113849,0.0005,0.065617885,0.005170946,5,0.1,-1.34217980357033,8.07390466286089
5,1.678842467,6.051113849,0.0005,0.065617885,0.005170946,5,0.2,-2.57298753228635,15.2824353047591
5,1.678842467,6.051113849,0.0005,0.065617885,0.005170946,5,0.3,-3.45542987251113,20.3929723402374
5,1.678842467,6.051113849,0.0005,0.065617885,0.005170946,5,0.4,-4.82931444681585,23.8425472926123
5,1.678842467,6.051113849,0.0005,0.065617885,0.005170946,5,0.5,-5.44272495219863,25.5199542453604
6,1.148144525,8.290169622,0.0005,0.053841186,0.005139647,5,0.1,-0.646661089523548,8.84798134512559
6,1.148144525,8.290169622,0.0005,0.053841186,0.005139647,5,0.2,-1.28408947009452,16.9960478963415
6,1.148144525,8.290169622,0.0005,0.053841186,0.005139647,5,0.3,-1.73491349169016,23.0222119185989
6,1.148144525,8.290169622,0.0005,0.053841186,0.005139647,5,0.4,-2.61053127618697,27.5312228187291
6,1.148144525,8.290169622,0.0005,0.053841186,0.005139647,5,0.5,-2.95975649570573,29.963317326199
7,2.064103462,5.751367932,0.0005,0.064672782,0.00516842,5,0.1,-1.61517406194153,7.72181552722424
7,2.064103462,5.751367932,0.0005,0.064672782,0.00516842,5,0.2,-3.05256545172279,14.5298109262852
7,2.064103462,5.751367932,0.0005,0.064672782,0.00516842,5,0.3,-4.062996702384,19.2831832773381
7,2.064103462,5.751367932,0.0005,0.064672782,0.00516842,5,0.4,-5.57229778672579,22.35544740134
7,2.064103462,5.751367932,0.0005,0.064672782,0.00516842,5,0.5,-6.2361411946064,23.7938377404236
8,3.617662018,6.284481221,0.0005,0.05059223,0.005131079,5,0.1,-2.01367878031863,7.09266164346321
8,3.617662018,6.284481221,0.0005,0.05059223,0.005131079,5,0.2,-3.69837225993005,13.2228168549308
8,3.617662018,6.284481221,0.0005,0.05059223,0.005131079,5,0.3,-4.79303640104419,17.4408946330978
8,3.617662018,6.284481221,0.0005,0.05059223,0.005131079,5,0.4,-6.42431456371858,19.9494502393025
8,3.617662018,6.284481221,0.0005,0.05059223,0.005131079,5,0.5,-7.04051985848421,21.1218848736882
9,4.11704948,2.862907054,0.0005,0.070792107,0.005184818,5,0.1,-3.67796229034403,5.2370355669247
9,4.11704948,2.862907054,0.0005,0.070792107,0.005184818,5,0.2,-6.53115890448071,9.58970254589331
9,4.11704948,2.862907054,0.0005,0.070792107,0.005184818,5,0.3,-8.48454757816435,12.2548797723147
9,4.11704948,2.862907054,0.0005,0.070792107,0.005184818,5,0.4,-10.802911968703,13.3866558327418
9,4.11704948,2.862907054,0.0005,0.070792107,0.005184818,5,0.5,-11.9630780307189,13.52449156819
10,5.502367298,5.872465073,0.0005,0.043764162,0.005113165,5,0.1,-2.52657642570651,6.3819484484988
10,5.502367298,5.872465073,0.0005,0.043764162,0.005113165,5,0.2,-4.52327637394269,11.8028282112288
10,5.502367298,5.872465073,0.0005,0.043764162,0.005113165,5,0.3,-5.77223208341109,15.4532779814063
10,5.502367298,5.872465073,0.0005,0.043764162,0.005113165,5,0.4,-7.56432626311913,17.4045359765311
10,5.502367298,5.872465073,0.0005,0.043764162,0.005113165,5,0.5,-8.21494080019172,18.268609716366
11,4.335766412,7.502717419,0.0005,0.042266407,0.005109252,5,0.1,-1.90998965206576,7.14300361964006
11,4.335766412,7.502717419,0.0005,0.042266407,0.005109252,5,0.2,-3.4990199190577,13.3262025028196
11,4.335766412,7.502717419,0.0005,0.042266407,0.005109252,5,0.3,-4.48197075280139,17.6336721483289
11,4.335766412,7.502717419,0.0005,0.042266407,0.005109252,5,0.4,-6.05098512395436,20.1950353229347
11,4.335766412,7.502717419,0.0005,0.042266407,0.005109252,5,0.5,-6.55835022835036,21.479344757674
12,6.930142151,8.584555226,0.0005,0.032120488,0.005082903,5,0.1,-2.16991099263499,6.70710689551914
12,6.930142151,8.584555226,0.0005,0.032120488,0.005082903,5,0.2,-3.89609585010042,12.4503931394282
12,6.930142151,8.584555226,0.0005,0.032120488,0.005082903,5,0.3,-4.87769675230341,16.4576323934823
12,6.930142151,8.584555226,0.0005,0.032120488,0.005082903,5,0.4,-6.53621451828503,18.6487246910592
12,6.930142151,8.584555226,0.0005,0.032120488,0.005082903,5,0.5,-6.95842167777775,19.8269474080216
13,2.241519064,7.553271063,0.0005,0.051531952,0.005133554,5,0.1,-1.27088723516625,8.03914294816386
13,2.241519064,7.553271063,0.0005,0.051531952,0.005133554,5,0.2,-2.41962113137107,15.2053895652425
13,2.241519064,7.553271063,0.0005,0.051531952,0.005133554,5,0.3,-3.18962107237855,20.3280226734527
13,2.241519064,7.553271063,0.0005,0.051531952,0.005133554,5,0.4,-4.4752719633054,23.7825980466772
13,2.241519064,7.553271063,0.0005,0.051531952,0.005133554,5,0.5,-4.95649378855278,25.5481285806844
14,8.811355389,6.983591912,0.0005,0.031435817,0.005081135,5,0.1,-2.68255156212419,6.05486623373372
14,8.811355389,6.983591912,0.0005,0.031435817,0.005081135,5,0.2,-4.72206273500064,11.1732979932845
14,8.811355389,6.983591912,0.0005,0.031435817,0.005081135,5,0.3,-5.90331086352869,14.6536849206019
14,8.811355389,6.983591912,0.0005,0.031435817,0.005081135,5,0.4,-7.7161283894737,16.376978863575
14,8.811355389,6.983591912,0.0005,0.031435817,0.005081135,5,0.5,-8.24788170767121,17.2304218802356
15,0.514717924,8.646149506,0.0005,0.055730211,0.005144642,5,0.1,-0.234278675169564,9.38412626621656
15,0.514717924,8.646149506,0.0005,0.055730211,0.005144642,5,0.2,-0.493974444130496,18.2395972158098
15,0.514717924,8.646149506,0.0005,0.055730211,0.005144642,5,0.3,-0.686141310320887,24.9595542154377
15,0.514717924,8.646149506,0.0005,0.055730211,0.005144642,5,0.4,-1.19758204396534,30.341131033636
