ID,q1,q3,V0,T0,c0,N_frac,R,Delta_viable,Delta_total
1,0.226731679,6.711541485,0.005,0.995,0.099761363,5,0.1,-60.2927629145729,-0.768998100000007
1,0.226731679,6.711541485,0.005,0.995,0.099761363,5,0.2,-75.8206576884422,-1.1938056
1,0.226731679,6.711541485,0.005,0.995,0.099761363,5,0.3,-83.1433271356784,-1.4804505
1,0.226731679,6.711541485,0.005,0.995,0.099761363,5,0.4,-89.2938016080402,-1.9589322
1,0.226731679,6.711541485,0.005,0.995,0.099761363,5,0.5,-90.6188031155779,-2.2779361
2,0.573145593,1.774839483,0.005,0.995,0.041997053,5,0.1,-39.0727529648241,-3.0598731
2,0.573145593,1.774839483,0.005,0.995,0.041997053,5,0.2,-54.2361829145729,-4.6662435
2,0.573145593,1.774839483,0.005,0.995,0.041997053,5,0.3,-61.565012361809,-5.55941720000001
2,0.573145593,1.774839483,0.005,0.995,0.041997053,5,0.4,-67.1007551758794,-6.26629769999999
2,0.573145593,1.774839483,0.005,0.995,0.041997053,5,0.5,-68.4788450251256,-6.3837832
3,0.788848319,6.183849449,0.005,0.995,0.030867853,5,0.1,-30.9042426130653,-0.961633900000003
3,0.788848319,6.183849449,0.005,0.995,0.030867853,5,0.2,-44.3827465326633,-1.5113716
3,0.788848319,6.183849449,0.005,0.995,0.030867853,5,0.3,-51.0291018090452,-1.8043881
3,0.788848319,6.183849449,0.005,0.995,0.030867853,5,0.4,-55.8822734673367,-2.07182760000001
3,0.788848319,6.183849449,0.005,0.995,0.030867853,5,0.5,-56.9798154773869,-2.1032193
4,0.442971481,5.650663089,0.005,0.995,0.053676102,5,0.1,-43.1085788944724,-0.951218399999998
4,0.442971481,5.650663089,0.005,0.995,0.053676102,5,0.2,-58.3669664321608,-1.46320110000001
4,0.442971481,5.650663089,0.005,0.995,0.053676102,5,0.3,-65.5578731658292,-1.73014669999999
4,0.442971481,5.650663089,0.005,0.995,0.053676102,5,0.4,-71.1741207035176,-2.0231101
4,0.442971481,5.650663089,0.005,0.995,0.053676102,5,0.5,-72.6295913567839,-2.0520904
5,1.514037652,7.124628363,0.005,0.995,0.016324212,5,0.1,-20.4155785929648,-0.951702999999993
5,1.514037652,7.124628363,0.005,0.995,0.016324212,5,0.2,-31.3631578894472,-1.7183477
5,1.514037652,7.124628363,0.005,0.995,0.016324212,5,0.3,-37.0676371859296,-2.1713363
5,1.514037652,7.124628363,0.005,0.995,0.016324212,5,0.4,-41.1802040201005,-2.5890815
5,1.514037652,7.124628363,0.005,0.995,0.016324212,5,0.5,-42.1858153768844,-2.7254195
6,1.034634364,4.735443181,0.005,0.995,0.023708791,5,0.1,-26.4607316582915,-1.31619550000001
6,1.034634364,4.735443181,0.005,0.995,0.023708791,5,0.2,-39.0221466331658,-2.090604
6,1.034634364,4.735443181,0.005,0.995,0.023708791,5,0.3,-45.3680294472362,-2.5176199
6,1.034634364,4.735443181,0.005,0.995,0.023708791,5,0.4,-49.9337009045226,-2.8668547
6,1.034634364,4.735443181,0.005,0.995,0.023708791,5,0.5,-50.9934001005025,-2.9398258
7,2.032459592,4.302566362,0.005,0.995,0.012211221,5,0.1,-17.8043442211055,-2.13345029999999
7,2.032459592,4.302566362,0.005,0.995,0.012211221,5,0.2,-28.1164748743719,-3.663878
7,2.032459592,4.302566362,0.005,0.995,0.012211221,5,0.3,-33.5687933668342,-4.4689765
7,2.032459592,4.302566362,0.005,0.995,0.012211221,5,0.4,-37.541252160804,-5.1665643
